Model,Actual price,Sell price,sound quality ,Bass,design & build,battery,value for money,over all rating,5 rating,4 rating,3 rating,2 rating,1 rating,total ratings,Total Amount
DuoPods K2,2999,699,3.8,3.8,3.7,3.8,3.8,3.9,60957,22297,10950,6270,16065,116539,"81,460,761"
DuoPods D4,2999,599,3.8,3.6,3.8,3.8,3.8,3.9,44628,17220,8452,4724,11529,86553,"51,845,247"
SuperPods Opera,5999,1499,4.1,4.1,3.9,3.9,3.9,4.0,14793,4391,1868,1197,3556,25805,"38,681,695"
DuoPods K6,3999,799,3.8,3.8,3.8,3.8,3.8,3.9,24604,8989,4389,2359,5984,46325,"37,013,675"
DuoPods i6,3499,699,3.9,3.7,3.9,3.8,3.8,3.9,25365,9563,4881,2760,6946,49515,"34,610,985"
DuoPods K5,3999,999,3.8,3.7,3.8,3.8,3.7,3.9,17782,5773,3059,1774,4835,33223,"33,189,777"
DuoPods B1 ,2999,899,4.1,4.1,3.9,4.2,4.2,4.1,17846,7655,2890,1328,3028,32747,"29,439,553"
DuoPods i7,4999,1199,3.9,3.9,3.9,3.7,3.7,4.0,8219,2406,1089,739,2116,14569,"17,468,231"
DuoPods K4,3999,999,3.5,3.4,3.5,3.6,3.6,3.7,7789,2506,1597,1135,3130,16157,"16,140,843"
DuoPods i2,3999,999,3.9,3.8,3.8,3.8,3.8,3.9,6929,1867,965,599,1905,12265,"12,252,735"
DuoPods i3,3999,999,3.8,3.7,3.9,3.0,3.8,3.9,6770,1741,949,694,1966,12120,"12,107,880"
SuperPods Immersio,6499,2399,4.0,4.1,3.9,3.8,3.6,3.8,2433,536,289,208,873,4339,"10,409,261"
SuperPods Concerto,6999,2399,4.0,4.1,3.9,3.8,3.6,3.8,2433,536,289,208,873,4339,"10,409,261"
DuoPods Blaze,3999,999,4.2,4.2,4.0,4.2,4.2,4.2,3338,1226,447,189,433,5633,"5,627,367"
DuoPods i5,4699,999,3.6,3.5,3.7,3.7,3.5,3.8,2483,690,401,295,862,4731,"4,726,269"
DuoPods Harizon,3999,899,3.9,3.8,3.9,4.1,4.0,4.1,2622,951,390,187,450,4600,"4,135,400"
DuoPods Strom,3499,799,4.2,4.2,4.0,4.3,4.2,4.2,2972,1078,354,185,484,5073,"4,053,327"
SuperPods Dueto,6699,1499,4.1,4.1,4.0,4.0,3.8,4.0,1537,401,166,135,381,2620,"3,927,380"
DuoPods Infinity ,4499,899,4.0,3.9,4.0,4.2,4.0,4.0,2247,722,351,170,487,3977,"3,575,323"
AI Buds,10999,2999,4.0,4.0,3.9,3.8,3.7,4.0,684,82,43,33,192,1034,"3,100,966"
SuperPods Halo,6699,1849,4.0,3.9,3.7,3.8,3.7,4.0,928,202,113,56,237,1536,"2,840,064"
DuoPods i4,2999,999,3.5,3.5,3.5,3.6,3.5,3.6,716,201,141,112,298,1468,"1,466,532"
